;Pays;Unite;Annee;PIB
1;AUS;USD_CAP;2017;50699,17511
2;AUS;USD_CAP;2018;52980,73433
3;AUS;USD_CAP;2019;52669,4739
4;AUS;USD_CAP;2020;55626,80243
5;AUT;USD_CAP;2017;54188,36067
6;AUT;USD_CAP;2018;56978,26477
7;AUT;USD_CAP;2019;58091,27229
8;AUT;USD_CAP;2020;55686,06774
9;AUT;USD_CAP;2021;59393,01134
10;BEL;USD_CAP;2017;50442,94752
11;BEL;USD_CAP;2018;52528,39795
12;BEL;USD_CAP;2019;54269,38949
13;BEL;USD_CAP;2020;53090,09521
14;BEL;USD_CAP;2021;59919,42419
15;CAN;USD_CAP;2017;48317,19116
16;CAN;USD_CAP;2018;49892,02861
17;CAN;USD_CAP;2019;49286,8116
18;CAN;USD_CAP;2020;46572,14102
19;CAN;USD_CAP;2021;50722,49168
20;CZE;USD_CAP;2017;38842,89627
21;CZE;USD_CAP;2018;41149,0336
22;CZE;USD_CAP;2019;42857,2294
23;CZE;USD_CAP;2020;41599,09301
24;CZE;USD_CAP;2021;44919,64714
25;DNK;USD_CAP;2017;55356,49009
26;DNK;USD_CAP;2018;57479,35022
27;DNK;USD_CAP;2019;58674,961
28;DNK;USD_CAP;2020;60244,41836
29;DNK;USD_CAP;2021;65437,97234
30;FIN;USD_CAP;2017;47570,27035
31;FIN;USD_CAP;2018;49574,52981
32;FIN;USD_CAP;2019;50321,58883
33;FIN;USD_CAP;2020;50926,47935
34;FIN;USD_CAP;2021;55739,52352
35;FRA;USD_CAP;2017;44445,59677
36;FRA;USD_CAP;2018;46375,43751
37;FRA;USD_CAP;2019;48800,18586
38;FRA;USD_CAP;2020;46691,09832
39;FRA;USD_CAP;2021;51183,67172
40;DEU;USD_CAP;2017;53071,47837
41;DEU;USD_CAP;2018;55235,24773
42;DEU;USD_CAP;2019;55652,87782
43;DEU;USD_CAP;2020;54844,44723
44;DEU;USD_CAP;2021;58674,86871
45;GRC;USD_CAP;2017;28604,79458
46;GRC;USD_CAP;2018;29617,49931
47;GRC;USD_CAP;2019;30356,30255
48;GRC;USD_CAP;2020;27923,99999
49;GRC;USD_CAP;2021;31823,31048
50;HUN;USD_CAP;2017;29501,12049
51;HUN;USD_CAP;2018;31913,07463
52;HUN;USD_CAP;2019;33514,94177
53;HUN;USD_CAP;2020;33274,34759
54;HUN;USD_CAP;2021;37303,41213
55;ISL;USD_CAP;2017;55638,49198
56;ISL;USD_CAP;2018;57214,70683
57;ISL;USD_CAP;2019;58284,11604
58;ISL;USD_CAP;2020;53611,27172
59;IRL;USD_CAP;2017;77832,00899
60;IRL;USD_CAP;2018;84671,54505
61;IRL;USD_CAP;2019;87506,77843
62;IRL;USD_CAP;2020;93450,3742
63;IRL;USD_CAP;2021;108312,0181
64;ITA;USD_CAP;2017;41951,46633
65;ITA;USD_CAP;2018;43427,66314
66;ITA;USD_CAP;2019;44376,17444
67;ITA;USD_CAP;2020;41995,3374
68;ITA;USD_CAP;2021;46612,65857
69;JPN;USD_CAP;2017;41531,22162
70;JPN;USD_CAP;2018;42239,05007
71;JPN;USD_CAP;2019;42438,75595
72;JPN;USD_CAP;2020;42285,32569
73;KOR;USD_CAP;2017;40957,34706
74;KOR;USD_CAP;2018;43025,9904
75;KOR;USD_CAP;2019;43044,8068
76;KOR;USD_CAP;2020;45274,09061
77;LUX;USD_CAP;2017;114862,5288
78;LUX;USD_CAP;2018;116801,1421
79;LUX;USD_CAP;2019;117058,9281
80;LUX;USD_CAP;2020;117721,2471
81;LUX;USD_CAP;2021;136239,8641
82;MEX;USD_CAP;2017;19947,19769
83;MEX;USD_CAP;2018;20354,82951
84;MEX;USD_CAP;2019;20145,64435
85;MEX;USD_CAP;2020;18962,5682
86;NLD;USD_CAP;2017;55089,58143
87;NLD;USD_CAP;2018;57825,39971
88;NLD;USD_CAP;2019;59003,86477
89;NLD;USD_CAP;2020;59265,24728
90;NLD;USD_CAP;2021;64772,3904
91;NZL;USD_CAP;2017;42074,66057
92;NZL;USD_CAP;2018;42388,6241
93;NZL;USD_CAP;2019;44973,23089
94;NZL;USD_CAP;2020;44288,37793
95;NOR;USD_CAP;2017;64050,36669
96;NOR;USD_CAP;2018;69807,22554
97;NOR;USD_CAP;2019;66797,86321
98;NOR;USD_CAP;2020;62650,37916
99;NOR;USD_CAP;2021;68452,83557
100;POL;USD_CAP;2017;29714,59098
101;POL;USD_CAP;2018;31588,49356
102;POL;USD_CAP;2019;33427,50343
103;POL;USD_CAP;2020;33880,29185
104;POL;USD_CAP;2021;37750,36324
105;PRT;USD_CAP;2017;33044,70015
106;PRT;USD_CAP;2018;34928,61899
107;PRT;USD_CAP;2019;36171,96484
108;PRT;USD_CAP;2020;34177,01994
109;PRT;USD_CAP;2021;36381,49674
110;SVK;USD_CAP;2017;30066,18753
111;SVK;USD_CAP;2018;31218,96003
