LieuxConfirmésDécèsMorts parmillion hab.Population
","""",""Monde[note 1]"",""498 891 485"",""6 178 789"",""784"",""7 874 965 730"""
","""",""Union européenne[note 2]"",""130 926 609"",""1 057 729"",""2 365"",""447 189 915"""
","""",""États-Unis"",""80 396 250"",""985 504"",""2 960"",""332 915 074"""
","""",""Inde"",""43 036 132"",""521 691"",""374"",""1 393 409 033"""
","""",""Brésil"",""30 153 979"",""661 513"",""3 091"",""213 993 441"""
","""",""France"",""27 000 940"",""143 357"",""2 126"",""67 422 000"""
","""",""Allemagne"",""22 715 638"",""131 728"",""1 570"",""83 900 471"""
","""",""Royaume-Uni"",""21 619 833"",""169 916"",""2 491"",""68 207 114"""
","""",""Russie"",""17 733 809"",""364 265"",""2 496"",""145 912 022"""
","""",""Corée du Sud"",""15 424 598"",""19 679"",""383"",""51 305 184"""
","""",""Italie"",""15 292 048"",""160 748"",""2 662"",""60 367 471"""
","""",""Turquie"",""14 958 974"",""98 409"",""1 157"",""85 042 736"""
","""",""Espagne"",""11 627 487"",""103 104"",""2 205"",""46 745 211"""
","""",""Viêt Nam"",""10 198 236"",""42 813"",""436"",""98 168 829"""
","""",""Argentine"",""9 052 536"",""128 198"",""2 811"",""45 605 823"""
","""",""Pays-Bas (pays constitutif)"",""8 065 835"",""22 187"",""1 291"",""17 173 094"""
","""",""Iran"",""7 191 643"",""140 616"",""1 653"",""85 028 760"""
","""",""Japon"",""7 039 397"",""28 688"",""227"",""126 050 796"""
","""",""Colombie"",""6 088 034"",""139 719"",""2 725"",""51 265 841"""
","""",""Indonésie"",""6 032 707"",""155 626"",""563"",""276 361 788"""
","""",""Pologne"",""5 978 215"",""115 635"",""3 059"",""37 797 000"""
","""",""Mexique"",""5 722 933"",""323 725"",""2 485"",""130 262 220"""
","""",""Australie"",""5 108 366"",""6 569"",""254"",""25 788 217"""
","""",""Ukraine"",""5 040 518"",""112 459"",""2 587"",""43 466 822"""
","""",""Malaisie"",""4 325 818"",""35 292"",""1 076"",""32 776 195"""
","""",""Israël"",""3 997 856"",""10 584"",""1 139"",""9 291 000"""
","""",""Autriche"",""3 987 385"",""16 226"",""1 794"",""9 043 072"""
","""",""Belgique"",""3 915 732"",""30 997"",""2 664"",""11 632 334"""
","""",""Thaïlande"",""3 905 872"",""26 188"",""374"",""69 950 844"""
","""",""Tchéquie"",""3 862 322"",""39 880"",""3 718"",""10 724 553"""
","""",""Afrique du Sud"",""3 732 075"",""100 096"",""1 667"",""60 041 996"""
","""",""Philippines"",""3 681 374"",""59 769"",""538"",""111 046 910"""
","""",""Portugal"",""3 667 184"",""21 874"",""2 151"",""10 167 923"""
","""",""Pérou"",""3 551 540"",""212 486"",""6 369"",""33 359 415"""
","""",""Canada"",""3 545 510"",""37 928"",""996"",""38 067 913"""
","""",""Suisse"",""3 528 689"",""13 607"",""1 561"",""8 715 494"""
","""",""Chili"",""3 512 020"",""57 041"",""2 968"",""19 212 362"""
","""",""Grèce"",""3 173 630"",""28 130"",""2 712"",""10 370 747"""
","""",""Danemark (pays constitutif)"",""3 085 154"",""5 908"",""1 016"",""5 813 302"""
","""",""Roumanie"",""2 872 849"",""65 207"",""3 409"",""19 127 772"""
","""",""Suède"",""2 491 980"",""18 506"",""1 821"",""10 160 159"""
","""",""Slovaquie"",""2 490 661"",""19 573"",""3 591"",""5 449 270"""
","""",""Irak"",""2 321 874"",""25 185"",""611"",""41 179 351"""
","""",""Serbie"",""1 989 415"",""15 884"",""2 311"",""6 871 547"""
","""",""Bangladesh"",""1 952 065"",""29 123"",""175"",""166 303 494"""
","""",""Hongrie"",""1 868 007"",""45 721"",""4 745"",""9 634 162"""
","""",""Jordanie"",""1 694 216"",""14 048"",""1 367"",""10 269 022"""
","""",""Géorgie (pays)"",""1 651 470"",""16 771"",""4 214"",""3 979 773"""
","""",""Pakistan"",""1 526 666"",""30 361"",""134"",""225 199 929"""
","""",""Irlande (pays)"",""1 487 164"",""6 863"",""1 377"",""4 982 904"""
","""",""Norvège"",""1 415 928"",""2 667"",""487"",""5 465 629"""
","""",""Kazakhstan"",""1 394 057"",""19 013"",""1 000"",""18 994 958"""
","""",""Hong Kong"",""1 190 183"",""8 770"",""1 161"",""7 552 800"""
","""",""Maroc"",""1 164 030"",""16 061"",""430"",""37 344 787"""
","""",""Bulgarie"",""1 145 408"",""36 700"",""5 321"",""6 896 655"""
","""",""Singapour"",""1 138 001"",""1 301"",""238"",""5 453 600"""
","""",""Croatie"",""1 109 066"",""15 685"",""3 842"",""4 081 657"""
","""",""Cuba"",""1 096 837"",""8 518"",""752"",""11 317 498"""
","""",""Liban"",""1 094 672"",""10 341"",""1 527"",""6 769 151"""
","""",""Lituanie"",""1 041 442"",""8 969"",""3 334"",""2 689 862"""
","""",""Tunisie"",""1 037 358"",""28 425"",""2 381"",""11 935 764"""
","""",""Slovénie"",""987 527"",""6 535"",""3 143"",""2 078 723"""
","""",""Népal"",""978 571"",""11 951"",""402"",""29 674 920"""
","""",""Biélorussie"",""969 616"",""6 872"",""727"",""9 442 867"""
","""",""Finlande"",""920 692"",""3 334"",""600"",""5 548 361"""
","""",""Mongolie"",""919 870"",""2 177"",""653"",""3 329 282"""
","""",""Bolivie"",""903 306"",""21 899"",""1 850"",""11 832 936"""
","""",""Uruguay"",""893 909"",""7 182"",""2 060"",""3 485 152"""
","""",""Émirats arabes unis"",""893 762"",""2 302"",""230"",""9 991 083"""
","""",""Équateur (pays)"",""863 398"",""35 461"",""1 982"",""17 888 474"""
","""",""Costa Rica"",""841 343"",""8 327"",""1 620"",""5 139 053"""
","""",""Guatemala"",""835 338"",""17 377"",""952"",""18 249 868"""
","""",""Lettonie"",""808 799"",""5 679"",""3 041"",""1 866 934"""
","""",""Azerbaïdjan"",""792 237"",""9 703"",""949"",""10 223 344"""
","""",""Nouvelle-Zélande"",""774 928"",""469"",""91"",""5 126 300"""
","""",""Panama"",""766 931"",""8 176"",""1 865"",""4 381 583"""
","""",""Arabie saoudite"",""751 813"",""9 058"",""256"",""35 340 680"""
","""",""Sri Lanka"",""662 592"",""16 489"",""767"",""21 497 306"""
","""",""Palestine (État)"",""656 287"",""5 655"",""1 082"",""5 222 756"""
","""",""Paraguay"",""648 446"",""18 734"",""2 594"",""7 219 641"""
","""",""Koweït"",""630 252"",""2 555"",""590"",""4 328 553"""
","""",""Birmanie"",""612 341"",""19 434"",""354"",""54 806 014"""
","""",""République dominicaine"",""578 531"",""4 375"",""399"",""10 953 714"""
","""",""Estonie"",""564 031"",""2 494"",""1 881"",""1 325 188"""
","""",""Bahreïn"",""560 023"",""1 473"",""842"",""1 748 295"""
","""",""Venezuela"",""521 471"",""5 695"",""198"",""28 704 947"""
","""",""Moldavie"",""515 445"",""11 462"",""2 848"",""4 024 025"""
","""",""Égypte"",""509 177"",""24 473"",""234"",""104 258 327"""
","""",""Libye"",""501 834"",""6 429"",""923"",""6 958 538"""
","""",""Éthiopie"",""470 050"",""7 509"",""63"",""117 876 226"""
","""",""Chypre (pays)"",""457 585"",""982"",""1 095"",""896 005"""
","""",""Arménie"",""422 677"",""8 620"",""2 904"",""2 968 128"""
","""",""Honduras"",""421 268"",""10 888"",""1 081"",""10 062 994"""
","""",""Chine[note 3]"",""412 691"",""4 638"",""3"",""1 444 216 102"""
","""",""Oman"",""388 686"",""4 254"",""814"",""5 223 376"""
","""",""Bosnie-Herzégovine"",""376 081"",""15 732"",""4 820"",""3 263 459"""
","""",""Qatar"",""362 783"",""677"",""231"",""2 930 524"""
","""",""Kenya"",""323 541"",""5 648"",""102"",""54 985 702"""
","""",""Zambie"",""317 483"",""3 967"",""209"",""18 920 657"""
","""",""Macédoine du Nord"",""307 796"",""9 251"",""4 441"",""2 082 661"""
","""",""Botswana"",""305 526"",""2 686"",""1 120"",""2 397 240"""
","""",""Albanie"",""274 219"",""3 493"",""1 215"",""2 872 934"""
","""",""Algérie"",""265 724"",""6 874"",""154"",""44 616 626"""
","""",""Nigeria"",""255 606"",""3 142"",""14"",""211 400 704"""
","""",""Zimbabwe"",""246 958"",""5 457"",""361"",""15 092 171"""
","""",""Ouzbékistan"",""238 071"",""1 637"",""48"",""33 935 765"""
","""",""Monténégro"",""233 721"",""2 706"",""4 308"",""628 051"""
","""",""Jersey"",""—"",""—"",""—"",""101 073"""
","""",""Kosovo"",""227 743"",""3 138"",""1 760"",""1 782 115"""
","""",""Mozambique"",""225 293"",""2 200"",""68"",""32 163 045"""
","""",""Luxembourg"",""223 666"",""1 045"",""1 646"",""634 814"""
","""",""Maurice (pays)"",""214 860"",""985"",""773"",""1 273 428"""
","""",""Kirghizistan"",""200 970"",""2 991"",""451"",""6 628 347"""
","""",""Laos"",""195 465"",""698"",""94"",""7 379 358"""
","""",""Islande"",""183 363"",""105"",""284"",""368 792"""
","""",""Afghanistan"",""177 974"",""7 671"",""192"",""39 835 428"""
","""",""Maldives"",""177 665"",""298"",""548"",""543 620"""
","""",""Ouganda"",""163 993"",""3 596"",""76"",""47 123 533"""
","""",""Salvador"",""162 089"",""4 122"",""632"",""6 518 500"""
","""",""Ghana"",""161 048"",""1 445"",""45"",""31 732 128"""
","""",""Namibie"",""157 896"",""4 021"",""1 554"",""2 587 344"""
","""",""Bailliage de Guernesey"",""—"",""—"",""—"",""63 385"""
","""",""Trinité-et-Tobago"",""140 332"",""3 780"",""2 693"",""1 403 374"""
","""",""Brunei"",""138 530"",""215"",""486"",""441 532"""
","""",""Cambodge"",""135 947"",""3 055"",""180"",""16 946 446"""
","""",""Rwanda"",""129 750"",""1 459"",""109"",""13 276 517"""
","""",""Jamaïque"",""128 972"",""2 902"",""975"",""2 973 462"""
","""",""Cameroun"",""119 780"",""1 927"",""70"",""27 224 262"""
","""",""Angola"",""99 194"",""1 900"",""55"",""33 933 611"""
","""",""République démocratique du Congo"",""86 748"",""1 337"",""14"",""92 377 986"""
","""",""Malte"",""86 162"",""662"",""1 282"",""516 100"""
","""",""Sénégal"",""85 950"",""1 965"",""114"",""17 196 308"""
","""",""Malawi"",""85 703"",""2 628"",""133"",""19 647 681"""
","""",""Côte d'Ivoire"",""81 828"",""796"",""29"",""27 053 629"""
","""",""Suriname"",""79 241"",""1 325"",""2 238"",""591 798"""
","""",""Polynésie française"",""72 528"",""648"",""2 293"",""282 534"""
","""",""Eswatini"",""69 968"",""1 395"",""1 189"",""1 172 369"""
","""",""Fidji"",""64 492"",""834"",""923"",""902 899"""
","""",""Madagascar"",""64 089"",""1 390"",""48"",""28 427 333"""
","""",""Guyana"",""63 326"",""1 226"",""1 551"",""790 329"""
","""",""Barbade"",""62 214"",""379"",""1 317"",""287 708"""
","""",""Saint-Martin (royaume des Pays-Bas)"",""—"",""—"",""—"",""43 421"""
","""",""Soudan"",""61 987"",""4 907"",""109"",""44 909 351"""
","""",""Nouvelle-Calédonie"",""60 494"",""312"",""1 082"",""288 217"""
","""",""Mauritanie"",""58 710"",""982"",""205"",""4 775 110"""
